"Estimate" "Low" "High" "year" "period" "fit"
"100" 75461.8211987298 66841.1057177794 85194.3784812997 2004 "past" "OMnoIE.MPmoratorium"
"101" 72960.4571296031 67417.7616126825 78958.8407746729 2005 "past" "OMnoIE.MPmoratorium"
"102" 75284.4598079688 69391.5301267976 81677.8341423097 2006 "past" "OMnoIE.MPmoratorium"
"103" 66785.5715597125 61249.6675806984 72821.8249132679 2007 "past" "OMnoIE.MPmoratorium"
"104" 53686.9155905495 31821.3616219893 90577.0450638122 2008 "past" "OMnoIE.MPmoratorium"
"105" 53432.4226961494 49923.4312982753 57188.0522018248 2009 "past" "OMnoIE.MPmoratorium"
"106" 46153.9489018401 43519.2699666489 48948.1326517227 2010 "past" "OMnoIE.MPmoratorium"
"107" 22505.1929555756 12017.3711104676 42145.965645225 2011 "past" "OMnoIE.MPmoratorium"
"108" 15615.1832994133 7659.66744902674 31833.4903044986 2012 "past" "OMnoIE.MPmoratorium"
"109" 15273.5394126997 7073.34362932343 32980.3015965738 2013 "past" "OMnoIE.MPmoratorium"
"110" 14094.6492382222 6486.93877890367 30624.4815805231 2014 "past" "OMnoIE.MPmoratorium"
"111" 11411.4924377102 5263.62629820995 24740.0085564972 2015 "past" "OMnoIE.MPmoratorium"
"112" 11254.9493697229 5129.17647085871 24696.7297839567 2016 "past" "OMnoIE.MPmoratorium"
"113" 16143.6724944981 6939.61105799992 37555.1539461533 2017 "past" "OMnoIE.MPmoratorium"
"114" 15555.1357340496 6350.58327411238 38100.7912597645 2018 "past" "OMnoIE.MPmoratorium"
"115" 15875 6452 38444 2018 "Future" "OMnoIE.MPmoratorium"
"116" 1 0 2 2019 "Future" "OMnoIE.MPmoratorium"
"117" 1 0 1 2020 "Future" "OMnoIE.MPmoratorium"
"118" 1 1 1 2021 "Future" "OMnoIE.MPmoratorium"
"119" 1 1 1 2022 "Future" "OMnoIE.MPmoratorium"
"120" 1 1 1 2023 "Future" "OMnoIE.MPmoratorium"
"121" 115 56 278 2024 "Future" "OMnoIE.MPmoratorium"
"122" 4000 4000 4000 2025 "Future" "OMnoIE.MPmoratorium"
"123" 6000 6000 6000 2026 "Future" "OMnoIE.MPmoratorium"
"124" 8000 7276 8000 2027 "Future" "OMnoIE.MPmoratorium"
"125" 10000 4096 10000 2028 "Future" "OMnoIE.MPmoratorium"
"126" 12000 2236 12000 2029 "Future" "OMnoIE.MPmoratorium"
